ID|Nombre de la Unidad Económica|Razón social|Código de la clase de actividad SCIAN|Descripcion estrato personal ocupado|Correo electrónico|Sitio en Internet|Fecha de incorporación al DENUE|Tipo de establecimiento|id_direccion
6186440|ARCILLAS PROCESADAS S.A. DE CV.|ARCILLAS PROCESADAS, S.A. DE C.V.|212329|51 a 100 personas|ARCILLAS@PRODIGY.NET.COM.MX|WWW:ARCILLAS.COM.MX|jul-10|Fijo|418
6186441|UNIDAD CERRO DEL MERCADO|MINERA DEL NORTE, S.A. DE C.V.|212210|251 y más personas|EIOCHOAV@GAN.COM.MX||mar-11|Fijo|419
6186442|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|6 a 10 personas|GRANITOSYMARMOLINASDELALAGUNA@HOTMAIL.COM||jul-10|Fijo|420
6186443|TRITURADOS CRIBISSA, S.A. DE C.V.|TRITURADOS CRIBISSA, S.A. DE C.V.|212321|101 a 250 personas|CONTAABILIDAD@CRIBISSA.COM.MX|WWW.CRIBISSA.COM.MX|jul-10|Fijo|421
6186444|PRIMERO EMPRESA MINERA, S.A. DE C.V.|PRIMERO EMPRESA MINERA, S.A. DE C.V.|212221|251 y más personas|JUAN.MARTINEZ@PRIMEROMINAS.COM||mar-11|Fijo|422
6186445|GRAVA 1000||212321|6 a 10 personas|GRAVA_MIL@HOTMAIL.COM||jul-10|Fijo|423
6186446|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|SANCHEZARAGON.ANA@GMAIL.COM||dic-14|Fijo|424
6186447|REFINADORA PLATA GUANACEVI, S.A. DE C.V.|REFINADORA PLATA GUANACEVI, S.A. DE C.V.|212222|251 y más personas|JOSE.CATRO@EDRSILVER.COM|EDRSILVER.COM|mar-11|Fijo|425
6186448|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|426
6186449|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||jul-10|Fijo|427
6186450|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|428
6186451|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||jul-10|Fijo|429
6186452|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|430
6186453|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||jul-10|Fijo|431
6186454|BANCO DE PIEDRA DOS CERRO LARGO||212319|0 a 5 personas|||jul-10|Fijo|432
6186455|BANCO DE PIEDRA DOS CERRO LARGO||212319|0 a 5 personas|||jul-10|Fijo|433
6186456|BANCO DE PIEDRA 1 LAS PEÑAS||212319|0 a 5 personas|||jul-10|Fijo|434
6186457|BANCO DE PIEDRA 1 LAS PEÑAS||212319|0 a 5 personas|||jul-10|Fijo|435
6186458|BANCO DE PIEDRA 1 LAS PEÑAS||212319|0 a 5 personas|||jul-10|Fijo|436
6186459|BANCO DE PIEDRA 1 LAS PEÑAS||212319|0 a 5 personas|||jul-10|Fijo|437
6186460|BANCO DE PIEDRA UNO LAS PEÑAS||212319|0 a 5 personas|||jul-10|Fijo|438
6186461|MINERA LA BRISA, S.A. DE C.V.|MINERA LA BRISA, S.A. DE C.V.|212222|11 a 30 personas|LABRISATOPIA@OMANET.COM.MX||jul-10|Fijo|439
6186462|INDUSTRIAL MINERA RAYA, S.A. DE C.V.|INDUSTRIAL MINERA RAYA, S.A. DE C.V.|212222|11 a 30 personas|||jul-10|Fijo|440
6186463|CIA. MINERA MEXICANA DE AVINO, S.A. DE C.V.|CIA. MINERA MEXICANA DE AVINO, S.A. DE C.V.|212231|101 a 250 personas|||jul-10|Fijo|441
6186464|CREAM MINERALS DE MEXICO, S.A. DE C.V.|CREAM MINERALS DE MEXICO, S.A. DE C.V.|213119|0 a 5 personas|||jul-10|Fijo|442
6186465|MINERA REAL DE GUANACEVI|MINERA REAL DE GUANACEVI, S.A. DE C.V.|212221|51 a 100 personas|FALANISMA@METGUABACEVI.COM||jul-10|Fijo|443
6186466|SILVER STANDAR DURANGO, S.A. DE C.V.|SILVER STANDAR DURANGO, S.A. DE C.V.|212222|31 a 50 personas|TMENDIA@SILVERMEXICO.COM.MX|WWW.SILVERSTANDAR.COM|mar-11|Fijo|444
6186467|SILVER STANDAR MEXICO, S.A. DE C.V.|SILVER STANDAR MEXICO, S.A. DE C.V.|213119|6 a 10 personas|TMENDIA@SILVERMEXICO.COM.MX|WWW.SILVERSTANDAR.COM|mar-11|Fijo|445
6186468|COMPAÑÍA MINERA HECLA, S.A. DE C.V.|COMPAÑÍA MINERA HECLA, S.A. DE C.V.|212221|31 a 50 personas|||mar-11|Fijo|446
6186469|COMPAÂ¥IA MINERA DE ATOCHA, S.A. DE C.V.|COMPAÂ¥IA MINERA DE ATOCHA, S.A. DE C.V.|212232|101 a 250 personas|||jul-10|Fijo|447
6186470|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||jul-10|Fijo|448
6186471|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||jul-10|Fijo|449
6186472|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||jul-10|Fijo|450
6186473|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||jul-10|Fijo|451
6186474|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|452
6186475|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||jul-10|Fijo|453
6186476|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||jul-10|Fijo|454
6186477|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||mar-11|Fijo|455
6186478|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|456
6186479|RG OBRAS, S.A. DE C.V.|RG OBRAS, S.A. DE C.V.|212311|0 a 5 personas|||jul-10|Fijo|457
6186480|CONSTRUCTORA DOMIN, S.A. DE C.V.|CONSTRUCTORA DOMIN, S.A. DE C.V.|212321|11 a 30 personas|GPO_DOMIN@HOTMAIL.COM||jul-10|Fijo|458
6186481|REGIO MARMOL, S.A. DE C.V.|REGIO MARMOL, S.A. DE C.V.|212311|51 a 100 personas|MALOPEZ@REGIOMARMOL.COM||mar-11|Fijo|459
6186482|MATERIALES LAS DOS COSTAS||212321|0 a 5 personas|||mar-11|Fijo|460
6186483|EMPRESA MINERA EL MIRADOR, S.A. DE C.V.|EMPRESA MINERA EL MIRADOR, S.A. DE C.V.|212210|0 a 5 personas|ELISEO_VAZQUEZ2012@HOTMAIL.COM||jul-13|Fijo|461
6186484|ARENERA VAZQUEZ||212321|0 a 5 personas|||jul-10|Fijo|462
6186485|MINERA LA MEDIA LUNA, S.A. DE C.V.|TGRXM2010, S.A. DE C.V.|212221|101 a 250 personas|||dic-14|Fijo|463
6186486|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|464
6186487|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|465
6186488|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|466
6186489|SABINO MILLAN VILLEGAS||212329|0 a 5 personas|||dic-14|Fijo|467
6186490|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|468
6186491|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|469
6186492|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|470
6186493|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|471
6186494|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|472
6186495|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|473
6186496|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|474
6186497|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|475
6186498|TABIQUERIA SANCHEZ||212329|11 a 30 personas|||dic-14|Fijo|476
6186499|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|477
6186500|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|478
6186501|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|6 a 10 personas|||dic-14|Fijo|479
6186502|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|480
6186503|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|481
6186504|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|482
6186505|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|483
6186506|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|484
6186507|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|485
6186508|MARICELA ESTRADA LUEVANO||212329|0 a 5 personas|||dic-14|Fijo|486
6186509|CONSTRUCTORA LOVA, S.A. DE C.V.|CONSTRUCTORA LOVA, S.A. DE C.V.|212321|11 a 30 personas|LOVEGA@YAHOO.COM.MX||dic-14|Fijo|487
6186510|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|488
6186511|TOMI SALMERON AMATECO||212329|0 a 5 personas|||dic-14|Fijo|489
6186512|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212329|6 a 10 personas|||dic-14|Fijo|490
6186513|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|6 a 10 personas|||dic-14|Fijo|491
6186514|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|6 a 10 personas|||dic-14|Fijo|492
6186515|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|493
6186516|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|6 a 10 personas|||dic-14|Fijo|494
6186517|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|6 a 10 personas|||dic-14|Fijo|495
6186518|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|6 a 10 personas|||dic-14|Fijo|496
6186519|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|497
6186520|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|498
6186521|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|499
6186522|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|500
6186523|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|501
6186524|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|502
6186525|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|503
6186526|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|504
6186527|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|505
6186528|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|506
6186529|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|507
6186530|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|508
6186531|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|509
6186532|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|510
6186533|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|511
6186534|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|512
6186535|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|513
6186536|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|514
6186537|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|515
6186538|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|11 a 30 personas|||dic-14|Fijo|516
6186539|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|517
6186540|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|6 a 10 personas|||dic-14|Fijo|518
6186541|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|6 a 10 personas|||dic-14|Fijo|519
6186542|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|520
6186543|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|6 a 10 personas|||dic-14|Fijo|521
6186544|VIDAL DE LOS SANTOS PERAL||212329|6 a 10 personas|||dic-14|Fijo|522
6186545|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|6 a 10 personas|||dic-14|Fijo|523
6186546|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|524
6186547|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|525
6186548|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|526
6186549|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|527
6186550|BULMARO MENESES GARCIA|BULMARO GARCIA MENESES|212329|0 a 5 personas|||dic-14|Fijo|528
6186551|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|529
6186552|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|530
6186553|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|531
6186554|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|532
6186555|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|533
6186556|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|534
6186557|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|535
6186558|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|536
6186559|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|537
6186560|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|538
6186561|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|539
6186562|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|540
6186563|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|541
6186564|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|542
6186565|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|543
6186566|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212321|6 a 10 personas|||dic-14|Fijo|544
6186567|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|545
6186568|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|546
6186569|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|547
6186570|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|548
6186571|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|549
6186572|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|550
6186573|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|0 a 5 personas|||dic-14|Fijo|551
6186574|MODESTO PAULO BAHENA||212391|0 a 5 personas|||dic-14|Fijo|552
6186575|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|553
6186576|MINERÍA DE SAL||212391|11 a 30 personas|||dic-14|Fijo|554
6186577|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|555
6186578|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|556
6186579|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|557
6186580|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|558
6186581|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|559
6186582|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|560
6186583|MINERÍA DE SAL||212391|11 a 30 personas|||dic-14|Fijo|561
6186584|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|562
6186585|MINERÍA DE SAL||212391|11 a 30 personas|||dic-14|Fijo|563
6186586|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|564
6186587|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|565
6186588|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|566
6186589|MINERÍA DE SAL||212391|11 a 30 personas|||dic-14|Fijo|567
6186590|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|568
6186591|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|569
6186592|IBIS GONZALEZ JUAREZ||212391|0 a 5 personas|||dic-14|Fijo|570
6186593|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|571
6186594|MINERÍA DE SAL||212391|11 a 30 personas|||dic-14|Fijo|572
6186595|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|573
6186596|MINERÍA DE SAL||212391|11 a 30 personas|||dic-14|Fijo|574
6186597|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|575
6186598|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|576
6186599|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|577
6186600|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|578
6186601|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|579
6186602|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|580
6186603|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|581
6186604|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|582
6186605|MINERÍA DE SAL||212391|6 a 10 personas|||dic-14|Fijo|583
6186606|VIRGEN DE JESUS GOMEZ||212391|6 a 10 personas|||dic-14|Fijo|584
6186607|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|585
6186608|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|586
6186609|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|587
6186610|MINERÍA DE SAL||212391|11 a 30 personas|||dic-14|Fijo|588
6186611|MINERÍA DE SAL||212391|0 a 5 personas|||dic-14|Fijo|589
6186612|MINERÍA DE SAL||212391|11 a 30 personas|||dic-14|Fijo|590
6186613|MINERÍA DE SAL||212391|11 a 30 personas|||dic-14|Fijo|591
6186614|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|592
6186615|MINERÍA DE PIEDRA CALIZA||212311|0 a 5 personas|||dic-14|Fijo|593
6186616|MINERÍA DE PIEDRA CALIZA||212311|0 a 5 personas|||dic-14|Fijo|594
6186617|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|595
6186618|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|596
6186619|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|597
6186620|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|598
6186621|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|599
6186622|IRLANDA MADERO RAMOS||212321|0 a 5 personas|||dic-14|Fijo|600
6186623|FLORIBERTO VILLALVA VERDE||212321|0 a 5 personas|||dic-14|Fijo|601
6186624|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|602
6186625|MINERÍA DE PIEDRA CALIZA||212311|0 a 5 personas|||dic-14|Fijo|603
6186626|MINERÍA DE PIEDRA CALIZA||212311|0 a 5 personas|||dic-14|Fijo|604
6186627|CALIXTRO GUZMÁN LÓPEZ||212311|0 a 5 personas|||dic-14|Fijo|605
6186628|MINERÍA DE PIEDRA CALIZA||212311|0 a 5 personas|||dic-14|Fijo|606
6186629|MINERÍA DE PIEDRA CALIZA||212311|0 a 5 personas|||dic-14|Fijo|607
6186630|GONZAGA MOCTEZUMA VENTURA||212311|0 a 5 personas|||dic-14|Fijo|608
6186631|MINERÍA DE PIEDRA CALIZA||212311|0 a 5 personas|||dic-14|Fijo|609
6186632|MINERÍA DE PIEDRA CALIZA||212311|0 a 5 personas|||dic-14|Fijo|610
6186633|MINERÍA DE PIEDRA CALIZA||212311|0 a 5 personas|||dic-14|Fijo|611
6186634|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|612
6186635|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|613
6186636|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|614
6186637|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|615
6186638|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|616
6186639|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|617
6186640|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|618
6186641|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|619
6186642|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|620
6186643|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|621
6186644|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|622
6186645|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|623
6186646|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|624
6186647|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|625
6186648|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|626
6186649|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|627
6186650|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|628
6186651|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|629
6186652|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|630
6186653|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|631
6186654|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|632
6186655|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|633
6186656|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|634
6186657|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|635
